px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
7.75189	-5.54784	-2.67861	2.33247	0.488836	7.64356	-5.66706	7.65	-5.65	1.81972	-1.81972	1.60516
7.82861	-5.65973	-2.63976	2.33999	0.46667	7.60376	-5.74774	7.7	-5.8	0.90983	-2.72951	1.25694
7.87794	-5.81995	-2.64718	2.30682	0.405834	7.7342	-5.95374	7.75	-5.95	0.909826	-2.72948	2.39195
7.99665	-5.95055	-2.7999	2.33334	0.422068	7.82165	-6.06822	7.85	-6.1	1.9986	-2.9979	9.61323
8.05373	-6.10398	-2.81441	2.30423	0.370016	7.95703	-6.24328	7.95	-6.25	1.99858	-2.99787	1.78262
8.14514	-6.22665	-2.78823	2.31063	0.353176	8.17338	-6.44684	8.05	-6.35	1.81738	-1.81739	1.07969
8.22237	-6.37196	-2.79637	2.29805	0.320047	8.15891	-6.45335	8.15	-6.45	1.81737	-1.81737	0.669908
8.30167	-6.48705	-2.75466	2.30039	0.302149	8.08628	-6.51855	8.2	-6.6	0.909293	-2.72787	1.08657
8.36057	-6.64513	-2.76241	2.27009	0.253842	8.25411	-6.74791	8.25	-6.75	0.909293	-2.72787	1.38661
8.44741	-6.76513	-2.75822	2.27553	0.245122	8.25648	-6.78122	8.35	-6.85	1.81994	-1.81993	0.405308
8.51828	-6.90583	-2.76051	2.26073	0.216153	8.44494	-6.95805	8.45	-6.95	1.81993	-1.81993	0.511486
8.58929	-7.01239	-2.73446	2.26068	0.203681	8.39359	-7.01743	8.5	-7.1	1.00006	-3.00018	0.601003
8.64002	-7.15596	-2.74257	2.23155	0.163488	8.54925	-7.24433	8.55	-7.25	1.00006	-3.00018	1.01315
8.75073	-7.2863	-2.85845	2.25053	0.182817	8.64403	-7.39047	8.65	-7.4	1.99807	-2.99712	5.80945
8.80772	-7.43779	-2.87237	2.2213	0.143547	8.73559	-7.5421	8.75	-7.55	1.99808	-2.99712	1.01087
8.86829	-7.55691	-2.76783	2.20486	0.110291	8.87176	-7.71912	8.8	-7.65	0.909955	-1.8199	5.58726
8.92775	-7.70511	-2.77079	2.18133	0.0800203	8.84538	-7.75497	8.85	-7.75	0.909946	-1.81988	0.582534
9.00548	-7.82522	-2.78797	2.18246	0.0785495	8.88333	-7.88636	8.9	-7.9	0.999086	-2.9973	0.297142
9.05054	-7.97092	-2.79485	2.15183	0.0432974	8.95966	-8.0381	8.95	-8.05	0.999095	-2.9973	0.804267
9.08556	-8.08394	-2.66802	2.12306	0.000509661	8.8564	-8.01424	9	-8.15	0.909309	-1.8186	6.97367
9.13649	-8.22427	-2.66667	2.10127	-0.0217064	9.05896	-8.24314	9.05	-8.25	0.909301	-1.81859	0.384803
9.21306	-8.3495	-2.70817	2.10465	-0.0132637	9.17781	-8.47056	9.1	-8.4	1.0004	-3.00119	0.768299
9.2471	-8.4935	-2.71509	2.07168	-0.0459258	9.15332	-8.54857	9.15	-8.55	1.00038	-3.00117	0.737454
9.28402	-8.61756	-2.62745	2.04178	-0.0839216	9.22922	-8.6898	9.2	-8.65	0.909508	-1.819	3.89281
9.32386	-8.75881	-2.62606	2.01683	-0.104487	9.24541	-8.76863	9.25	-8.75	0.9095	-1.81899	0.370893
9.46656	-8.91106	-2.88068	2.08226	-0.000401542	9.37748	-9.00609	9.35	-8.95	1.99965	-3.99928	31.9156
9.50783	-9.06824	-2.89945	2.05178	-0.0308913	9.44703	-9.15328	9.45	-9.15	1.99964	-3.99928	0.684466
9.54708	-9.19	-2.82918	2.02774	-0.0623655	9.50096	-9.25642	9.5	-9.25	0.999584	-1.99917	2.65156
9.59098	-9.32936	-2.83357	2.00871	-0.078405	9.54157	-9.35195	9.55	-9.35	0.999584	-1.99917	0.183472
9.62467	-9.45067	-2.77819	1.98487	-0.105582	9.47534	-9.42627	9.55	-9.5	0	-3.00023	1.67522
9.64425	-9.60271	-2.7887	1.94827	-0.137105	9.54779	-9.64959	9.55	-9.65	0	-3.0002	0.716435
9.70959	-9.74254	-2.83319	1.95254	-0.119686	9.69942	-9.88416	9.6	-9.8	0.999005	-2.997	1.03464
9.73061	-9.89502	-2.84323	1.91976	-0.146558	9.64606	-9.9341	9.65	-9.95	0.998995	-2.997	0.539225
9.74448	-10.0305	-2.76104	1.87894	-0.192683	9.60087	-9.96395	9.7	-10.05	0.909855	-1.81969	3.79602
9.77987	-10.1715	-2.75302	1.86345	-0.19774	9.73801	-10.1396	9.75	-10.15	0.909847	-1.81969	0.145659
9.81884	-10.3079	-2.75161	1.85021	-0.202955	9.92627	-10.4745	9.75	-10.3	0	-3.00065	0.506417
9.82964	-10.454	-2.75902	1.81913	-0.223746	9.75524	-10.4732	9.75	-10.45	0	-3.00063	0.361047
9.87205	-10.6016	-2.7813	1.81623	-0.208542	9.71825	-10.5087	9.8	-10.6	0.90817	-2.72451	0.868097
9.89395	-10.7547	-2.78268	1.79432	-0.218906	9.85048	-10.7526	9.85	-10.75	0.908161	-2.72448	0.111136
9.89977	-10.8968	-2.72733	1.75532	-0.257869	9.88465	-10.9383	9.85	-10.9	0	-2.73074	2.08208
9.90398	-11.0497	-2.72892	1.72541	-0.273476	9.83614	-11.041	9.85	-11.05	0	-2.73073	0.271925
9.92073	-11.1839	-2.72833	1.70997	-0.275018	9.83952	-11.1692	9.85	-11.2	0	-2.99965	0.0629741
9.91386	-11.3311	-2.73899	1.67736	-0.293445	9.84568	-11.3496	9.85	-11.35	0	-2.99961	0.306615
9.92798	-11.4711	-2.74742	1.66348	-0.291326	9.87961	-11.5637	9.85	-11.5	0	-2.99843	0.0808048
9.91212	-11.6191	-2.75816	1.62866	-0.311074	9.83206	-11.6307	9.85	-11.65	0	-2.99843	0.394196
9.84499	-11.7374	-2.63417	1.52974	-0.433872	9.85311	-11.8523	9.8	-11.75	-1.0003	-2.00061	15.6788
9.81829	-11.8695	-2.63422	1.49477	-0.446946	9.74928	-11.8442	9.75	-11.85	-1.00029	-2.00059	0.299535
9.79778	-11.9979	-2.62629	1.46419	-0.457801	9.69694	-11.9706	9.7	-12	-1.0004	-3.00119	0.161897
9.75062	-12.1392	-2.64195	1.41881	-0.479354	9.65354	-12.1497	9.65	-12.15	-1.00039	-3.00116	0.565313
9.68688	-12.2619	-2.59579	1.3417	-0.557595	9.72311	-12.3964	9.6	-12.25	-0.999885	-1.99981	4.931
9.6327	-12.3862	-2.59711	1.29848	-0.572469	9.54859	-12.3478	9.55	-12.35	-0.999884	-1.99979	0.467679
9.52019	-12.4882	-2.53108	1.17729	-0.705894	9.39039	-12.3902	9.45	-12.45	-1.99803	-1.99805	11.6069
9.44716	-12.6	-2.53164	1.12687	-0.72044	9.36086	-12.5501	9.35	-12.55	-1.99804	-1.99804	0.536208
9.37149	-12.7205	-2.52552	1.07037	-0.744573	9.34456	-12.7106	9.3	-12.65	-0.909773	-1.81953	0.320814
9.28714	-12.8305	-2.51873	1.01843	-0.755525	9.22134	-12.7613	9.25	-12.75	-0.909773	-1.81954	0.480821
9.11903	-12.9063	-2.48816	0.843977	-0.954358	9.15326	-13.0031	9.05	-12.85	-3.99257	-1.99629	22.3244
8.99298	-12.9966	-2.51052	0.7697	-0.97803	8.84161	-12.9519	8.85	-12.95	-3.99253	-1.99627	1.38477
8.8465	-13.073	-2.51962	0.657775	-1.05998	8.71632	-12.9613	8.75	-13	-1.8213	-0.910651	3.31968
8.72262	-13.138	-2.50942	0.587843	-1.07189	8.66358	-13.0431	8.65	-13.05	-1.8213	-0.910651	0.655049
8.57162	-13.1868	-2.53655	0.471888	-1.16187	8.54518	-13.1702	8.5	-13.1	-2.997	-0.999005	4.05833
8.43878	-13.2296	-2.54056	0.399736	-1.17451	8.35763	-13.1557	8.35	-13.15	-2.997	-0.998995	0.638816
8.25157	-13.2495	-2.59661	0.253327	-1.29311	8.22926	-13.1698	8.2	-13.15	-2.72741	0	7.45122
8.09997	-13.2605	-2.59123	0.167203	-1.30771	8.03583	-13.1513	8.05	-13.15	-2.72742	0	0.844073
7.94101	-13.2626	-2.61034	0.0701816	-1.34134	7.82914	-13.0525	7.9	-13.15	-2.72986	0	1.13438
7.79392	-13.2505	-2.60232	-0.0145746	-1.35266	7.76538	-13.1647	7.75	-13.15	-2.72986	0	0.432778
7.71198	-13.2802	-2.49855	-0.0106872	-1.24517	7.66146	-13.3079	7.6	-13.2	-2.9979	-0.999304	8.62256
7.56172	-13.2745	-2.53134	-0.0788493	-1.24644	7.44786	-13.2517	7.45	-13.25	-2.9979	-0.999304	0.72927
7.42016	-13.2542	-2.52818	-0.148287	-1.24349	7.21108	-13.0985	7.3	-13.25	-2.72846	0	0.75712
7.25979	-13.2346	-2.56299	-0.215488	-1.23823	7.16011	-13.2382	7.15	-13.25	-2.72844	0	0.549126
7.1087	-13.17	-2.6315	-0.318933	-1.29664	6.88472	-12.9588	7	-13.2	-2.99784	0.999284	3.79686
6.95812	-13.1343	-2.67124	-0.3773	-1.2859	6.84891	-13.1493	6.85	-13.15	-2.99784	0.999284	0.678247
6.82651	-13.0867	-2.65858	-0.437292	-1.2716	6.77424	-13.2337	6.7	-13.1	-2.72787	0.909275	0.328806
6.66656	-13.0355	-2.70007	-0.493436	-1.25393	6.55759	-13.0679	6.55	-13.05	-2.72787	0.909284	0.74137
6.56557	-13.0078	-2.562	-0.510244	-1.17194	6.40137	-13.0799	6.4	-13.05	-2.72678	0	9.97735
6.40052	-12.9672	-2.61609	-0.543741	-1.13685	6.26174	-13.0534	6.25	-13.05	-2.72678	0	1.58298
6.28417	-12.912	-2.56699	-0.583041	-1.10216	6.10143	-13.0076	6.1	-13	-2.72966	0.909888	1.74021
6.11238	-12.8666	-2.62868	-0.604332	-1.05901	5.94198	-12.9494	5.95	-12.95	-2.72963	0.90988	2.15464
5.98154	-12.7535	-2.75367	-0.690789	-1.1146	5.79854	-12.8478	5.8	-12.85	-2.99777	1.99851	7.00765
5.82246	-12.6901	-2.81046	-0.71062	-1.07536	5.65107	-12.7365	5.65	-12.75	-2.99778	1.99852	1.87997
5.72021	-12.6261	-2.6873	-0.733152	-1.01633	5.50547	-12.5721	5.55	-12.7	-1.81798	0.908995	8.20058
5.56384	-12.5598	-2.72524	-0.748439	-0.974248	5.43839	-12.652	5.45	-12.65	-1.81799	0.908995	1.49799
5.44449	-12.4435	-2.77579	-0.808735	-0.98723	5.27506	-12.4782	5.3	-12.55	-2.72627	1.81753	1.02998
5.28091	-12.3705	-2.81686	-0.813686	-0.936512	5.1307	-12.4684	5.15	-12.45	-2.72625	1.8175	2.01228
5.17601	-12.276	-2.77417	-0.848587	-0.913636	5.04446	-12.3808	5.05	-12.35	-1.8199	1.81989	1.07085
5.03426	-12.1865	-2.79975	-0.863701	-0.877779	4.92985	-12.2499	4.95	-12.25	-1.81991	1.8199	0.943937
4.93739	-12.0736	-2.81508	-0.906341	-0.876478	4.75061	-11.9803	4.85	-12.15	-1.99928	1.99929	0.427449
4.82229	-11.9867	-2.82483	-0.922042	-0.848278	4.75915	-12.0666	4.75	-12.05	-1.99928	1.99928	0.637684
4.72707	-11.8582	-2.84343	-0.969263	-0.850777	4.69113	-11.9084	4.7	-11.9	-0.908236	2.72471	0.170915
4.6412	-11.7305	-2.84136	-1.01448	-0.849291	4.64378	-11.7442	4.65	-11.75	-0.908231	2.7247	0.0103279
4.58162	-11.6266	-2.71955	-1.05276	-0.832687	4.59746	-11.6205	4.6	-11.65	-0.909847	1.81971	5.46479
4.51663	-11.5067	-2.70429	-1.09706	-0.832091	4.54975	-11.5706	4.55	-11.55	-0.909843	1.81969	0.270294
4.41145	-11.3279	-2.96121	-1.1413	-0.844825	4.47442	-11.3673	4.5	-11.35	-1.0008	4.0032	24.9907
4.37901	-11.1798	-2.9549	-1.20417	-0.866156	4.44059	-11.1496	4.45	-11.15	-1.0008	4.00321	0.297847
4.37437	-11.0585	-2.77711	-1.27365	-0.889258	4.43713	-11.024	4.45	-11.05	0	1.81614	11.6768
4.36474	-10.908	-2.76212	-1.34372	-0.911808	4.45136	-10.93	4.45	-10.95	0	1.81612	0.472306
